		A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q
44	y	3	2	99	99	99	99	4	99	99	1	99	99	99	99	99	99	99
45	y	99	3	99	99	99	99	99	99	99	1	2	99	99	99	99	99	99
46	y	99	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99
47	y	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
48	y	99	99	99	99	99	99	99	1	2	99	3	99	99	99	99	99	99
49	y	99	1	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
50	y	3	99	99	99	99	99	99	99	99	1	2	99	99	99	99	99	99
51	y	3	5	2	99	99	99	4	1	99	99	99	99	99	99	99	99	99
52	y	99	99	99	99	99	99	99	2	99	99	1	99	99	99	99	99	99
53	y	99	99	99	99	99	99	99	2	3	99	1	99	99	99	99	99	99
54	y	2	99	99	99	99	99	99	1	99	99	99	99	99	99	99	99	99
55	y	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99	99	99
56	y	2	99	99	99	99	99	99	99	99	2	3	99	99	99	99	99	99
57	y	99	1	99	99	99	99	99	3	99	2	99	99	99	99	99	99	99
58	y	99	99	99	99	99	4	99	2	99	3	1	99	99	99	99	99	99
59	y	99	99	99	99	99	3	99	99	99	2	1	99	99	99	99	99	99
60	y	1	99	2	3	4	5	99	99	99	99	6	99	99	99	99	99	99
61	y	2	99	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99
62	y	5	6	10	11	12	1	4	7	3	8	5	99	99	99	99	99	99
63	y	3	1	4	9	11	7	2	5	10	6	8	99	99	99	99	99	99
64	y	1	1	1	1	1	1	1	99	99	99	99	99	1	99	99	99	99
65	y	99	1	99	99	5	99	2	99	99	4	3	99	99	99	99	99	99
66	y	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
67	y	7	1	7	6	5	99	4	9	10	2	4	99	99	99	99	99	99
68	y	1	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
																		
Average		42.1176470588	53.4264705882	71.2058823529	79.7647058824	74.1911764706	79.6470588235	72.2205882353	55.3676470588	79.75	47.8235294118	53.7058823529	97.5735294118	96.1470588235	99	99	99	99
